firenze_sum_cs,Ha SUOLO CONSUMATO PER KM2,Annual
2417,6.0425,17.9053046202
2649,6.6225,17.1011249737
2082,5.205,16.8089340023
315,0.7875,16.558929571
6907,17.2675,16.425524886
272,0.68,16.1985160242
13105,32.7625,18.4987468978
16440,41.1,18.5252125272
5971,14.9275,18.1518412542
6461,16.1525,17.5991521481
2669,6.6725,17.16158911
3913,9.7825,16.873613121
2236,5.59,16.5962711003
20908,52.27,18.6917410359
17296,43.24,18.5972102291
8413,21.0325,18.7524969542
28801,72.0025,19.1335266251
27936,69.84,19.1103573905
26703,66.7575,18.6832534863
9278,23.195,18.0853276353
4130,10.325,17.6403365999
5805,14.5125,17.379160285
10330,25.825,17.9077898887
18248,45.62,18.0357568173
17340,43.35,18.1713386096
19942,49.855,18.2892527928
18255,45.6375,18.3996952551
19129,47.8225,18.5700050842
23623,59.0575,18.8586934885
26440,66.1,19.1214969682
31083,77.7075,19.090139006
17939,44.8475,18.7388137746
11887,29.7175,18.466648804
15009,37.5225,18.1564079299
6476,16.19,17.7944482679
2279,5.6975,16.5672662579
3540,8.85,17.7332517445
8113,20.2825,17.8470612723
7451,18.6275,18.0843187047
17157,42.8925,18.3488803841
13015,32.5375,18.5436191005
14149,35.3725,18.591076506
14185,35.4625,18.6642451548
30489,76.2225,18.8600691164
34555,86.3875,19.1165117053
34389,85.9725,19.334640618
33694,84.235,19.2317727077
34828,87.07,19.0386509947
26046,65.115,18.6143179205
16473,41.1825,18.1162426001
4570,11.425,17.6946522509
7180,17.95,17.464248925
3850,9.625,17.2791707681
6579,16.4475,18.364053631
11676,29.19,18.4880495811
18290,45.725,18.6152181971
28861,72.1525,18.672990633
30740,76.85,18.559274418
32634,81.585,18.3793494152
18725,46.8125,18.3282902703
33097,82.7425,18.5002190874
39214,98.035,18.583068512
37845,94.6125,18.6651466598
38244,95.61,18.6048279738
32193,80.4825,18.535602228
29675,74.1875,18.2570836531
15272,38.18,17.9095738119
8795,21.9875,17.6732207066
2006,5.015,17.4047958425
14330,35.825,17.5256025326
7759,19.3975,17.304846913
4600,11.5,17.3432765173
20793,51.9825,17.4907767047
11336,28.34,17.5047312425
12430,31.075,17.5032299398
14893,37.2325,17.5025891219
26538,66.345,17.760969503
19826,49.565,17.753858902
13675,34.1875,17.5074722822
5771,14.4275,17.2471300313
2193,5.4825,16.8134729772
2546,6.365,16.7517446447
10713,26.7825,16.8579226783
10717,26.7925,16.9767869005
6673,16.6825,16.9725218495
3723,9.3075,16.8791733708
4094,10.235,16.9293034507
7234,18.085,17.1123911234
11791,29.4775,17.0422496822
2201,5.5025,16.6015474457
11400,28.5,16.6527096199
12683,31.7075,16.684983238
4772,11.93,16.7179817218
4372,10.93,16.6275737521
2678,6.695,16.4458253341
3899,9.7475,16.4359145196
1243,3.1075,16.2287344758
