roma_sum_cs,CS_ha,Annual
56,0.1372,16.4540926342
684,1.6758,15.8133480235
458,1.1221,16.2252459842
579,1.41855,16.5356924335
460,1.127,16.5345433609
533,1.30585,15.7689025716
408,0.9996,16.4049318442
791,1.93795,16.6697951108
634,1.5533,16.4831813709
364,0.8918,16.1747270895
16,0.0392,16.7053532904
734,1.7983,16.470533204
2678,6.5611,16.6233219233
1130,2.7685,16.780096599
838,2.0531,16.8515144231
184,0.4508,16.5965362123
475,1.16375,17.2113255595
1878,4.6011,17.0248048574
5780,14.161,17.0122366312
3689,9.03805,16.990881012
1050,2.5725,16.9263372976
1996,4.8902,16.993224598
1996,4.8902,16.993224598
9255,22.67475,17.3949453629
9892,24.2354,17.3573880548
2800,6.86,17.2748196881
1877,4.59865,17.2794508875
2047,5.01515,17.1735409404
48,0.1176,17.329592377
3602,8.8249,17.610078728
11313,27.71685,17.5582921915
10308,25.2546,17.4497456047
4358,10.6771,17.3985732494
3247,7.95515,17.3705492531
1347,3.30015,17.4413009353
257,0.62965,17.3358517488
292,0.7154,17.1590453263
1117,2.73665,17.2770866603
2141,5.24545,17.4482057608
125,0.30625,17.396622151
125,0.30625,17.396622151
3352,8.2124,17.57920816
967,2.36915,17.6278307058
2744,6.7228,17.6810317149
4386,10.7457,17.647297341
1558,3.8171,17.5846991604
1244,3.0478,17.5589365434
985,2.41325,17.5426424522
917,2.24665,17.5484892085
1457,3.56965,17.4191459947
4168,10.2116,17.2961172168
3144,7.7028,17.3472511045
964,2.3618,17.4833304515
525,1.28625,17.6814803334
1273,3.11885,17.9639463375
1094,2.6803,17.9607663021
3002,7.3549,17.7496679131
1211,2.96695,17.6263361027
577,1.41365,17.3442645777
577,1.41365,17.3442645777
662,1.6219,17.3319810879
1192,2.9204,17.3687745305
584,1.4308,17.4155264564
2429,5.95105,17.411446361
2924,7.1638,17.5218015023
5926,14.5187,17.6071784582
843,2.06535,17.658854527
426,1.0437,17.682575032
8195,20.07775,17.6796771367
7674,18.8013,17.6319119868
1397,3.42265,17.5369299504
360,0.882,17.5391452757
820,2.009,17.5458173077
7446,18.2427,17.4718132638
6230,15.2635,17.2924751181
7243,17.74535,17.1693623482
3369,8.25405,17.4570638636
687,1.68315,17.5806146208
2153,5.27485,17.5863135637
649,1.59005,17.623287201
1737,4.25565,17.6549958062
4708,11.5346,17.6849985708
4838,11.8531,17.6300629311
2067,5.06415,17.509460845
800,1.96,17.4896973403
634,1.5533,17.5370752268
942,2.3079,17.5227969898
652,1.5974,17.3754749119
1941,4.75545,17.3306545912
330,0.8085,17.3039221351
8063,19.75435,17.2848298096
1797,4.40265,17.3043987105
7244,17.7478,17.3182316267
2088,5.1156,17.5118228229
2169,5.31405,17.6574952711
2620,6.419,17.6612417763
3045,7.46025,17.6183135609
3171,7.76895,17.6222828402
2118,5.1891,17.5282886068
1927,4.72115,17.4325235371
674,1.6513,17.5380577412
8971,21.97895,17.754058189
7865,19.26925,17.5951703544
8596,21.0602,17.369130609
3258,7.9821,17.2886664745
1541,3.77545,17.3313753936
611,1.49695,17.4710197134
928,2.2736,17.4766966093
1357,3.32465,17.5625771293
6525,15.98625,17.6224449411
2679,6.56355,17.5284446694
7903,19.36235,17.4737692823
5081,12.44845,17.6145545856
1215,2.97675,17.7540639526
2611,6.39695,17.7979832762
173,0.42385,17.6932856313
1800,4.41,17.585078535
412,1.0094,17.6300603773
2194,5.3753,17.5566251031
441,1.08045,17.3858591993
834,2.0433,17.3181743421
349,0.85505,17.3461898101
2136,5.2332,17.4848562612
5264,12.8968,17.5859882291
2995,7.33775,17.6147954622
2647,6.48515,17.6066880469
1314,3.2193,17.4978334224
139,0.34055,17.4292487161
1024,2.5088,17.4481620183
1531,3.75095,17.443768392
1223,2.99635,17.4070461725
2248,5.5076,17.5996194955
3230,7.9135,17.8803383894
10177,24.93365,18.0234041601
17149,42.01505,17.9135698521
7412,18.1594,17.5741421362
2212,5.4194,17.2864458221
761,1.86445,17.3826917454
1330,3.2585,17.4657722063
1968,4.8216,17.5725869461
1789,4.38305,17.3988178278
1920,4.704,17.4862597881
5315,13.02175,17.5378059164
6294,15.4203,17.5485589575
3208,7.8596,17.6768898307
9179,22.48855,17.9447350615
7326,17.9487,18.0420339209
2639,6.46555,17.8405187481
4972,12.1814,17.6614660884
2413,5.91185,17.6486504489
141,0.34545,17.7050660003
125,0.30625,17.7784338919
199,0.48755,17.7290808451
412,1.0094,17.6264269849
790,1.9355,17.6602032023
