"","x"
"1",2000-12-18
"2",2001-01-01
"3",2001-01-17
"4",2001-02-02
"5",2001-02-18
"6",2001-03-06
"7",2001-03-22
"8",2001-04-07
"9",2001-04-23
"10",2001-05-09
"11",2001-05-25
"12",2001-06-10
"13",2001-06-26
"14",2001-07-12
"15",2001-07-28
"16",2001-08-13
"17",2001-08-29
"18",2001-09-14
"19",2001-09-30
"20",2001-10-16
"21",2001-11-01
"22",2001-11-17
"23",2001-12-03
"24",2001-12-19
"25",2002-01-01
"26",2002-01-17
"27",2002-02-02
"28",2002-02-18
"29",2002-03-06
"30",2002-03-22
"31",2002-04-07
"32",2002-04-23
"33",2002-05-09
"34",2002-05-25
"35",2002-06-10
"36",2002-06-26
"37",2002-07-12
"38",2002-07-28
"39",2002-08-13
"40",2002-08-29
"41",2002-09-14
"42",2002-09-30
"43",2002-10-16
"44",2002-11-01
"45",2002-11-17
"46",2002-12-03
"47",2002-12-19
"48",2003-01-01
"49",2003-01-17
"50",2003-02-02
"51",2003-02-18
"52",2003-03-06
"53",2003-03-22
"54",2003-04-07
"55",2003-04-23
"56",2003-05-09
"57",2003-05-25
"58",2003-06-10
"59",2003-06-26
"60",2003-07-12
"61",2003-07-28
"62",2003-08-13
"63",2003-08-29
"64",2003-09-14
"65",2003-09-30
"66",2003-10-16
"67",2003-11-01
"68",2003-11-17
"69",2003-12-03
"70",2003-12-19
"71",2004-01-01
"72",2004-01-17
"73",2004-02-02
"74",2004-02-18
"75",2004-03-05
"76",2004-03-21
"77",2004-04-06
"78",2004-04-22
"79",2004-05-08
"80",2004-05-24
"81",2004-06-09
"82",2004-06-25
"83",2004-07-11
"84",2004-07-27
"85",2004-08-12
"86",2004-08-28
"87",2004-09-13
"88",2004-09-29
"89",2004-10-15
"90",2004-10-31
"91",2004-11-16
"92",2004-12-02
"93",2004-12-18
"94",2005-01-01
"95",2005-01-17
"96",2005-02-02
"97",2005-02-18
"98",2005-03-06
"99",2005-03-22
"100",2005-04-07
"101",2005-04-23
"102",2005-05-09
"103",2005-05-25
"104",2005-06-10
"105",2005-06-26
"106",2005-07-12
"107",2005-07-28
"108",2005-08-13
"109",2005-08-29
"110",2005-09-14
"111",2005-09-30
"112",2005-10-16
"113",2005-11-01
"114",2005-11-17
"115",2005-12-03
"116",2005-12-19
"117",2006-01-01
"118",2006-01-17
"119",2006-02-02
"120",2006-02-18
"121",2006-03-06
"122",2006-03-22
"123",2006-04-07
"124",2006-04-23
"125",2006-05-09
"126",2006-05-25
"127",2006-06-10
"128",2006-06-26
"129",2006-07-12
"130",2006-07-28
"131",2006-08-13
"132",2006-08-29
"133",2006-09-14
"134",2006-09-30
"135",2006-10-16
"136",2006-11-01
"137",2006-11-17
"138",2006-12-03
"139",2006-12-19
"140",2007-01-01
"141",2007-01-17
"142",2007-02-02
"143",2007-02-18
"144",2007-03-06
"145",2007-03-22
"146",2007-04-07
"147",2007-04-23
"148",2007-05-09
"149",2007-05-25
"150",2007-06-10
"151",2007-06-26
"152",2007-07-12
"153",2007-07-28
"154",2007-08-13
"155",2007-08-29
"156",2007-09-14
"157",2007-09-30
"158",2007-10-16
"159",2007-11-01
"160",2007-11-17
"161",2007-12-03
"162",2007-12-19
"163",2008-01-01
"164",2008-01-17
"165",2008-02-02
"166",2008-02-18
"167",2008-03-05
"168",2008-03-21
"169",2008-04-06
"170",2008-04-22
"171",2008-05-08
"172",2008-05-24
"173",2008-06-09
"174",2008-06-25
"175",2008-07-11
"176",2008-07-27
"177",2008-08-12
"178",2008-08-28
"179",2008-09-13
"180",2008-09-29
"181",2008-10-15
"182",2008-10-31
"183",2008-11-16
"184",2008-12-02
"185",2008-12-18
"186",2009-01-01
"187",2009-01-17
"188",2009-02-02
"189",2009-02-18
"190",2009-03-06
"191",2009-03-22
"192",2009-04-07
"193",2009-04-23
"194",2009-05-09
"195",2009-05-25
"196",2009-06-10
"197",2009-06-26
"198",2009-07-12
"199",2009-07-28
"200",2009-08-13
"201",2009-08-29
"202",2009-09-14
"203",2009-09-30
"204",2009-10-16
"205",2009-11-01
"206",2009-11-17
"207",2009-12-03
"208",2009-12-19
"209",2010-01-01
"210",2010-01-17
"211",2010-02-02
"212",2010-02-18
"213",2010-03-06
"214",2010-03-22
"215",2010-04-07
"216",2010-04-23
"217",2010-05-09
"218",2010-05-25
"219",2010-06-10
"220",2010-06-26
"221",2010-07-12
"222",2010-07-28
"223",2010-08-13
"224",2010-08-29
"225",2010-09-14
"226",2010-09-30
"227",2010-10-16
"228",2010-11-01
"229",2010-11-17
"230",2010-12-03
"231",2010-12-19
"232",2011-01-01
"233",2011-01-17
